year,month,incoming_ton,incineration_ton,operation_rate,lng_nm3,electricity_kwh,estimated_Carbon,prev_month_incoming_ton,prev_2month_avg_incoming_ton,prev_3month_avg_incoming_ton,same_month_last_year_incoming_ton
2023,2,21613.0,20031.0,89.0,22919,2255724.0,,21343.0,23999.5,23172.0,17644.0
2023,3,24248.0,24332.0,98.0,18377,2641536.0,,21613.0,21478.0,23204.0,21942.0
2023,4,8864.0,10809.0,85.0,6859,1489428.0,,24248.0,22930.5,22401.333333333332,5468.0
2023,5,3615.0,1636.0,90.0,39882,592848.0,,8864.0,16556.0,18241.666666666668,5229.0
2023,6,17597.0,18460.0,89.0,23933,1892880.0,,3615.0,6239.5,12242.333333333334,22720.0
2023,7,23195.0,24865.0,89.0,17623,2315448.0,,17597.0,10606.0,10025.333333333334,20844.0
2023,8,26587.0,25224.0,90.0,10803,,,23195.0,20396.0,14802.333333333334,25596.0
2023,9,23884.0,22888.0,90.0,19348,2215692.0,,26587.0,24891.0,22459.666666666668,24364.0
2023,10,23140.0,23833.0,87.0,14701,2224872.0,,23884.0,25235.5,24555.333333333332,24584.0
2023,11,18279.0,16968.0,88.0,41467,1788192.0,,23140.0,23512.0,24537.0,21517.0
2024,1,23092.0,22102.0,88.0,36611,2147508.0,,18279.0,20709.5,21767.666666666668,21343.0
2024,2,21761.0,23016.0,88.0,10358,2033892.0,,23092.0,20685.5,21503.666666666668,21613.0
2024,3,22882.0,24559.0,88.0,11567,2301012.0,,21761.0,22426.5,21044.0,24248.0
2024,4,11635.0,10835.0,88.0,9770,1409724.0,,22882.0,22321.5,22578.333333333332,8864.0
2024,5,1269.0,306.0,102.0,72992,420804.0,,11635.0,17258.5,18759.333333333332,3615.0
2024,6,20513.0,21159.0,82.0,13500,2031768.0,,1269.0,6452.0,11928.666666666666,17597.0
2024,7,24365.0,23660.0,87.0,42402,2259252.0,,20513.0,10891.0,11139.0,23195.0
2024,8,24389.0,23505.0,85.0,9419,2337084.0,,24365.0,22439.0,15382.333333333334,26587.0
2024,9,25589.0,23338.0,89.0,17088,2308968.0,,24389.0,24377.0,23089.0,23884.0
2024,10,24256.0,23625.0,90.0,19130,2297844.0,,25589.0,24989.0,24781.0,23140.0
2024,11,21423.0,23084.0,88.0,19028,1788192.0,,24256.0,24922.5,24744.666666666668,18279.0
2024,12,21869.0,24049.0,89.0,14839,2116116.0,,21423.0,22839.5,23756.0,
2025,1,25429.0,23988.0,88.0,12337,2245932.0,,21869.0,21646.0,22516.0,23092.0
2025,2,21347.0,21239.0,88.0,20014,2040840.0,,25429.0,23649.0,22907.0,21761.0
2025,3,21354.0,21262.0,83.0,20133,2077092.0,,21347.0,23388.0,22881.666666666668,22882.0
2025,4,18833.0,18794.0,88.0,15328,1911204.0,,21354.0,21350.5,22710.0,11635.0
2025,5,6190.0,8183.0,90.0,20536,1281348.0,,18833.0,20093.5,20511.333333333332,1269.0
2025,6,2966.0,1160.0,91.0,63535,491868.0,,6190.0,12511.5,15459.0,20513.0
2025,7,23103.0,22718.0,89.0,41501,2199384.0,,2966.0,4578.0,9329.666666666668,24365.0
2025,8,23781.0,24521.0,88.0,36223,2372364.0,,23103.0,13034.5,10753.000000000002,24389.0
2025,9,26107.0,23414.0,89.0,85059,2262060.0,,23781.0,23442.0,16616.666666666668,25589.0
2025,10,22511.0,23712.0,88.0,83997,2244276.0,,26107.0,24944.0,24330.333333333332,24256.0
2025,11,21005.0,18674.0,89.0,73370,1929744.0,,22511.0,24309.0,24133.0,21423.0
2025,12,22929.0,23421.0,90.0,28177,2203056.0,,21005.0,21758.0,23207.666666666668,21869.0
2026,1,24608.0,24600.0,88.0,4279,2265156.0,,22929.0,21967.0,22148.333333333332,25429.0
2026,2,22175.0,21689.0,88.0,10563,2037528.0,,24608.0,23768.5,22847.333333333332,21347.0
2026,3,23512.0,22413.0,88.0,32245,2169216.0,,22175.0,23391.5,23237.333333333332,21354.0
2026,4,22326.0,22633.0,89.0,17532,2140740.0,,23512.0,22843.5,23431.666666666668,18833.0
